file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,295,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,9
style.css,296,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,64
style.css,297,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,17
style.css,298,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,16
style.css,299,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,300,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,301,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,37
style.css,302,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,37
style.css,303,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,14
style.css,304,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,48
style.css,305,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,306,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,307,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,38
style.css,308,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,63
style.css,309,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,19
style.css,310,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,311,css,c2114031,kyradeng,2025-01-30,00:34:52,-08:00,2025-01-30T00:34:52-08:00,0,0
style.css,312,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,11
style.css,313,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,13
style.css,314,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,49
style.css,315,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,49
style.css,316,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,55
style.css,317,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,318,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,319,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,19
style.css,320,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,15
style.css,321,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,17
style.css,322,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,323,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,17
style.css,324,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,325,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,326,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,8
style.css,327,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,16
style.css,328,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,10
style.css,329,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,16
style.css,330,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,13
style.css,331,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,15
style.css,332,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,9
style.css,333,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,334,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,0
style.css,335,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,11
style.css,336,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,13
style.css,337,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,19
style.css,338,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,30
style.css,339,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,15
style.css,340,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,19
style.css,341,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,17
style.css,342,css,2ca25adb,kyradeng,2025-02-07,16:58:33,-08:00,2025-02-07T16:58:33-08:00,0,18
